feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,38,38,0,38,38,15,447,76,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,3,1137,2,0,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,5,5,0,5,5,3,461,43,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,18,5359,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,17,1952,35,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,3,109,24,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,5,5,0,5,5,17,229,24,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,6,6,0,6,6,16,896,111,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,1,1,0,1,1,7,21,3,0,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,1,1977,93,0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,9,1153,28,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,340,340,0,340,340,14,188,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,4,252,11,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,67,67,0,67,67,1,109,1,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,2,2,0,2,2,1,242,2,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,9,9,0,9,9,6,2545,31,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,300,300,0,300,300,4,0,11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,74
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,9,9,0,9,9,3,147,23,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,8,1344,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,7,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,225,41,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,267,17,0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,224,4,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,1,1,0,1,1,2,777,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,1264,55,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,3,1284,32,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,2,885,64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,683,12,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,258,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,549,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,2,0,18,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,29,0,16,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,1,2,2,-1,36,2369,18,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,6,6,0,6,6,23,1902,3,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,53,1037,39,0,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,19,1127,117,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,1,0,0,1,0,66,1026,30,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,7,3,4,7,-1,25,1796,38,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,2,2,0,2,2,26,96,18,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,64,64,0,64,64,21,1109,118,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,27,1,26,26,-25,47,190,1,0,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,7,1,6,6,-5,31,337,27,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,8,0,8,8,-8,44,999,71,0,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,14,0,1,14,-1,55,222,70,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,6,6,0,6,6,5,405,88,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,5,5,0,5,5,22,1582,45,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,46,2,44,45,-42,43,623,154,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,13,13,0,13,13,16,944,102,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,8,8,0,8,8,13,0,66,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,17,0,2,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,1,1,0,1,1,19,273,16,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,3,0,3,3,7,1079,74,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,4,4,0,4,4,17,1352,4,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,726
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,7,1,6,6,-5,32,1165,1,0,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,8,1,7,8,-6,32,6197,48,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,0,3,3,-3,38,262,18,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,3,0,3,3,-3,44,2603,34,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
